graph_id,node_id,label,train_mask,val_mask,test_mask,X,Y,Z
0,0,0,True,False,False,12.3125,30.351574,4.5
0,1,0,True,False,False,55.9375,24.484876,4.5
0,2,0,True,False,False,12.3125,24.484876,4.5
0,3,0,True,False,False,45.737499,24.873776,4.5
0,4,0,True,False,False,59.132127,29.248375,2.73965
0,5,0,True,False,False,41.987499,30.351574,1.5
0,6,0,True,False,False,32.1375,24.873775,4.5
0,7,0,True,False,False,65.862499,26.748775,1.5
0,8,0,True,False,False,41.462499,28.087675,3.0
0,9,0,True,False,False,69.325001,24.484817,1.5
0,10,0,True,False,False,9.117874,29.248374,2.739649
0,11,0,True,False,False,53.987502,28.087675,3.0
0,12,0,True,False,False,69.325001,29.087616,1.5
0,13,0,True,False,False,25.9125,24.484876,4.5
0,14,0,True,False,False,-2.3,17.82086,1.5
0,15,0,True,False,False,-0.0625,29.087675,1.5
0,16,0,True,False,False,31.932126,29.248374,2.73965
0,17,0,True,False,False,55.9375,30.351574,4.5
0,18,0,True,False,False,59.337499,24.873775,4.5
0,19,0,True,False,False,-5.1,5.1,4.5
0,20,0,True,False,False,36.317874,29.248374,2.739649
0,21,0,True,False,False,15.137499,24.484876,4.5
0,22,0,True,False,False,28.7375,24.484876,4.5
0,23,0,True,False,False,36.112499,24.873775,4.5
0,24,0,True,False,False,56.474998,28.087675,4.5
0,25,0,True,False,False,39.512498,30.351574,4.5
0,26,0,True,False,False,42.524999,28.087675,1.5
0,27,0,True,False,False,12.125,28.087675,1.5
0,28,0,True,False,False,39.324999,28.087675,1.5
0,29,0,True,False,False,22.717875,29.248374,2.739649
0,30,0,True,False,False,13.1875,28.087675,3.0
0,31,0,True,False,False,39.512499,24.484876,4.5
0,32,0,True,False,False,-0.0625,26.748776,4.5
0,33,0,True,False,False,53.112502,24.484876,4.5
0,34,0,True,False,False,15.137499,30.351574,4.5
0,35,0,True,False,False,27.862501,28.087675,3.0
0,36,0,True,False,False,49.917874,29.248374,2.739649
0,37,0,True,False,False,30.637499,24.484876,1.5
0,38,0,True,False,False,28.7375,30.351574,4.5
0,39,0,True,False,False,42.875,28.087675,4.5
0,40,0,True,False,False,40.387498,28.087675,3.0
0,41,0,True,False,False,-5.1,5.1,1.5
0,42,0,True,False,False,29.275,28.087675,4.5
0,43,0,True,False,False,28.387501,30.351574,1.5
0,44,0,True,False,False,39.862499,30.351574,1.5
0,45,0,True,False,False,26.262501,30.351574,1.5
0,46,0,True,False,False,-5.625,11.847871,3.0
0,47,0,True,False,False,15.674999,28.087675,4.5
0,48,0,True,False,False,52.575001,28.087675,4.5
0,49,0,True,False,False,14.2625,28.087675,3.0
0,50,0,True,False,False,53.112502,30.351574,4.5
0,51,0,True,False,False,11.775,28.087675,4.5
0,52,0,True,False,False,5.175,27.519893,3.510922
0,53,0,True,False,False,26.787501,28.087675,3.0
0,54,0,True,False,False,53.462502,30.351574,1.5
0,55,0,True,False,False,49.7125,24.873776,4.5
0,56,0,True,False,False,42.337499,30.351574,4.5
0,57,0,True,False,False,12.6625,30.351574,1.5
0,58,0,True,False,False,55.0625,28.087675,3.0
0,59,0,True,False,False,42.3375,24.484876,4.5
0,60,0,True,False,False,68.287499,26.748775,4.5
0,61,0,False,True,False,15.325,28.087675,1.5
0,62,0,False,True,False,56.125,28.087675,1.5
0,63,0,False,True,False,25.9125,30.351574,4.5
0,64,0,False,True,False,45.532124,29.248374,2.739649
0,65,0,False,True,False,38.974998,28.087675,4.5
0,66,0,False,True,False,52.925001,28.087675,1.5
0,67,0,False,True,False,18.5375,24.873776,4.5
0,68,0,False,False,True,14.7875,30.351574,1.5
0,69,0,False,False,True,25.725001,28.087675,1.5
0,70,0,False,False,True,63.074999,27.519893,3.510922
0,71,0,False,False,True,55.587502,30.351574,1.5
0,72,0,False,False,True,8.9125,24.873776,4.5
0,73,0,False,False,True,22.5125,24.873775,4.5
0,74,0,False,False,True,28.925,28.087675,1.5
0,75,0,False,False,True,25.375,28.087675,4.5
0,76,0,False,False,True,18.332126,29.248375,2.73965
